i,T,Qmin
623,1.519155,15.0
624,1.519155,15.0
625,1.519155,15.0
626,1.519155,15.0
627,1.519155,15.0
628,1.519155,15.0
629,1.519155,15.0
630,1.519155,15.0
631,1.519155,15.0
632,1.519155,15.0
633,1.519155,15.0
634,1.519155,15.0
635,1.519155,15.0
636,1.519155,15.0
637,1.519155,15.0
638,1.519155,15.0
639,1.519155,15.0
640,1.519155,15.0
641,1.519155,15.0
642,1.519155,15.0
643,1.519155,15.0
644,1.519155,15.0
645,1.519155,15.0
646,1.519155,15.0
647,1.519155,15.0
648,1.519155,15.0
649,1.519155,15.0
650,1.519155,15.0
651,1.519155,15.0
652,1.519155,15.0
653,1.519155,15.0
654,1.519155,15.0
655,1.519155,15.0
656,1.519155,15.0
657,1.519155,15.0
658,1.519155,15.0
659,1.519155,15.0
660,1.519155,15.0
661,1.519155,15.0
662,1.519155,15.0
663,1.519155,15.0
664,1.519155,15.0
665,1.519155,15.0
666,1.519155,15.0
667,1.519155,15.0
668,1.519155,15.0
669,1.519155,15.0
670,1.519155,15.0
671,1.519155,15.0
672,1.519155,15.0
673,1.519155,15.0
674,1.519155,15.0
675,1.519155,15.0
676,1.519155,15.0
677,1.519155,15.0
678,1.519155,15.0
679,1.519155,15.0
680,1.519155,15.0
681,1.519155,15.0
682,1.519155,15.0
683,1.519155,15.0
684,1.519155,15.0
685,1.519155,15.0
686,1.519155,15.0
687,1.519155,15.0
688,1.519155,15.0
689,1.519155,15.0
690,1.519155,15.0
691,1.519155,15.0
692,1.519155,15.0
693,1.519155,15.0
694,1.519155,15.0
695,1.519155,15.0
696,1.519155,15.0
697,1.519155,15.0
698,1.519155,15.0
699,1.519155,15.0
700,1.519155,15.0
701,1.519155,15.0
702,1.519155,15.0
703,1.519155,15.0
704,1.519155,15.0
705,1.503963,15.0
706,1.503963,15.0
707,1.503963,15.0
708,1.503963,15.0
709,1.503963,15.0
710,1.503963,15.0
711,1.503963,15.0
712,1.503963,15.0
713,1.503963,15.0
714,1.503963,15.0
715,1.503963,15.0
716,1.503963,15.0
717,1.503963,15.0
718,1.503963,15.0
719,1.503963,15.0
720,1.503963,15.0
721,1.503963,15.0
722,1.503963,15.0
723,1.503963,15.0
724,1.503963,15.0
725,1.503963,15.0
726,1.503963,15.0
727,1.503963,15.0
728,1.503963,15.0
729,1.503963,15.0
730,1.503963,15.0
731,1.503963,15.0
732,1.503963,15.0
733,1.503963,15.0
734,1.503963,15.0
735,1.503963,15.0
736,1.503963,15.0
737,1.503963,15.0
738,1.503963,15.0
739,1.503963,15.0
740,1.503963,15.0
741,1.503963,15.0
742,1.503963,15.0
743,1.503963,15.0
744,1.503963,15.0
745,1.503963,15.0
746,1.503963,15.0
747,1.503963,15.0
748,1.503963,15.0
749,1.503963,15.0
750,1.503963,15.0
751,1.503963,15.0
752,1.503963,15.0
753,1.503963,15.0
754,1.503963,15.0
755,1.503963,15.0
