i,T,Qmin
495,1.250000,16.0
496,1.250000,16.0
497,1.250000,16.0
498,1.250000,16.0
499,1.250000,16.0
500,1.250000,16.0
501,1.250000,16.0
502,1.250000,16.0
503,1.250000,16.0
504,1.250000,16.0
505,1.250000,16.0
506,1.250000,16.0
507,1.250000,16.0
508,1.250000,16.0
509,1.250000,16.0
510,1.250000,16.0
511,1.250000,16.0
512,1.250000,16.0
513,1.250000,16.0
514,1.250000,16.0
515,1.250000,16.0
516,1.250000,16.0
517,1.250000,16.0
518,1.250000,16.0
519,1.250000,16.0
520,1.250000,16.0
521,1.250000,16.0
522,1.250000,16.0
523,1.250000,16.0
524,1.250000,16.0
525,1.250000,16.0
526,1.250000,16.0
527,1.250000,16.0
528,1.250000,16.0
529,1.250000,16.0
530,1.250000,16.0
531,1.250000,16.0
532,1.250000,16.0
533,1.250000,16.0
534,1.250000,16.0
535,1.250000,16.0
536,1.250000,16.0
537,1.250000,16.0
538,1.250000,16.0
539,1.250000,16.0
540,1.250000,16.0
541,1.250000,16.0
542,1.250000,16.0
543,1.250000,16.0
544,1.250000,16.0
545,1.250000,16.0
546,1.250000,16.0
547,1.250000,15.0
548,1.250000,15.0
549,1.250000,15.0
550,1.250000,15.0
551,1.250000,15.0
552,1.250000,15.0
553,1.250000,15.0
554,1.250000,15.0
555,1.250000,15.0
556,1.250000,15.0
557,1.250000,15.0
558,1.250000,14.0
559,1.250000,14.0
560,1.250000,14.0
561,1.250000,14.0
562,1.250000,14.0
563,1.250000,14.0
564,1.250000,14.0
565,1.250000,14.0
566,1.250000,14.0
567,1.250000,14.0
568,1.250000,14.0
569,1.250000,14.0
570,1.250000,14.0
571,1.250000,14.0
572,1.250000,14.0
573,1.250000,14.0
574,1.250000,14.0
575,1.250000,14.0
576,1.250000,14.0
577,1.250000,14.0
578,1.250000,14.0
579,1.250000,14.0
580,1.250000,14.0
581,1.250000,14.0
582,1.250000,14.0
583,1.250000,14.0
584,1.250000,14.0
585,1.250000,14.0
586,1.250000,14.0
587,1.250000,14.0
588,1.250000,14.0
589,1.250000,14.0
590,1.250000,14.0
591,1.250000,14.0
592,1.250000,14.0
593,1.250000,14.0
594,1.250000,14.0
595,1.250000,14.0
596,1.250000,14.0
597,1.250000,14.0
598,1.250000,14.0
599,1.250000,14.0
600,1.250000,14.0
601,1.250000,14.0
602,1.250000,14.0
603,1.250000,14.0
604,1.250000,14.0
605,1.250000,14.0
606,1.250000,14.0
607,1.250000,14.0
608,1.250000,14.0
609,1.250000,14.0
610,1.250000,14.0
611,1.250000,14.0
612,1.250000,14.0
613,1.250000,14.0
614,1.250000,14.0
615,1.250000,14.0
616,1.250000,14.0
617,1.250000,14.0
618,1.250000,14.0
619,1.250000,14.0
620,1.250000,14.0
621,1.250000,14.0
622,1.250000,14.0
623,1.250000,14.0
624,1.250000,14.0
625,1.250000,14.0
626,1.250000,14.0
627,1.250000,14.0
628,1.250000,14.0
629,1.250000,14.0
630,1.250000,14.0
631,1.250000,14.0
632,1.250000,14.0
633,1.250000,14.0
634,1.250000,14.0
635,1.250000,14.0
636,1.250000,14.0
637,1.250000,14.0
638,1.250000,14.0
639,1.250000,14.0
640,1.250000,14.0
641,1.250000,14.0
642,1.250000,14.0
643,1.250000,14.0
644,1.250000,14.0
645,1.250000,14.0
646,1.250000,14.0
647,1.250000,14.0
648,1.250000,14.0
649,1.250000,14.0
650,1.250000,14.0
651,1.250000,14.0
652,1.250000,14.0
653,1.250000,14.0
654,1.250000,14.0
655,1.250000,14.0
656,1.250000,14.0
657,1.250000,14.0
658,1.250000,14.0
659,1.250000,14.0
660,1.250000,14.0
661,1.250000,14.0
662,1.250000,14.0
663,1.250000,14.0
664,1.250000,14.0
665,1.250000,14.0
666,1.250000,14.0
667,1.250000,14.0
668,1.250000,14.0
669,1.250000,14.0
670,1.250000,14.0
671,1.250000,14.0
672,1.250000,14.0
673,1.250000,14.0
674,1.250000,14.0
675,1.250000,14.0
676,1.250000,14.0
677,1.250000,14.0
678,1.250000,14.0
679,1.250000,14.0
680,1.250000,14.0
681,1.250000,14.0
682,1.250000,14.0
683,1.250000,14.0
684,1.250000,14.0
685,1.250000,14.0
686,1.250000,14.0
687,1.250000,14.0
688,1.250000,14.0
689,1.250000,14.0
690,1.250000,14.0
691,1.250000,14.0
692,1.250000,14.0
693,1.250000,14.0
694,1.250000,14.0
695,1.250000,14.0
696,1.250000,14.0
697,1.250000,14.0
698,1.250000,14.0
699,1.250000,14.0
700,1.250000,14.0
701,1.250000,14.0
702,1.250000,14.0
703,1.250000,14.0
704,1.250000,14.0
705,1.250000,14.0
706,1.250000,14.0
707,1.250000,14.0
708,1.250000,14.0
709,1.250000,14.0
710,1.250000,14.0
711,1.250000,14.0
712,1.250000,14.0
713,1.250000,14.0
714,1.250000,14.0
715,1.250000,14.0
716,1.250000,14.0
717,1.250000,14.0
718,1.250000,14.0
719,1.250000,14.0
720,1.250000,14.0
721,1.250000,14.0
722,1.250000,14.0
723,1.250000,14.0
724,1.250000,14.0
725,1.250000,14.0
726,1.250000,14.0
727,1.250000,14.0
728,1.250000,14.0
729,1.250000,14.0
730,1.250000,14.0
731,1.250000,14.0
732,1.250000,14.0
733,1.250000,14.0
734,1.250000,14.0
735,1.250000,14.0
736,1.250000,14.0
737,1.250000,14.0
738,1.250000,14.0
739,1.250000,14.0
740,1.250000,14.0
741,1.250000,14.0
742,1.250000,14.0
743,1.250000,14.0
744,1.250000,14.0
745,1.250000,14.0
746,1.250000,14.0
747,1.250000,14.0
748,1.250000,14.0
749,1.250000,14.0
750,1.250000,14.0
751,1.250000,14.0
752,1.250000,14.0
753,1.237500,14.0
754,1.237500,14.0
755,1.237500,14.0
756,1.237500,14.0
757,1.237500,14.0
758,1.237500,14.0
759,1.237500,14.0
760,1.237500,14.0
761,1.237500,14.0
762,1.237500,14.0
763,1.237500,14.0
764,1.237500,14.0
765,1.237500,14.0
766,1.237500,14.0
767,1.237500,14.0
768,1.237500,14.0
769,1.237500,14.0
770,1.237500,14.0
771,1.237500,14.0
772,1.237500,14.0
773,1.237500,14.0
774,1.237500,14.0
775,1.237500,14.0
776,1.237500,14.0
777,1.237500,14.0
778,1.237500,14.0
779,1.237500,14.0
780,1.237500,14.0
781,1.237500,14.0
782,1.237500,14.0
783,1.237500,14.0
784,1.237500,14.0
785,1.237500,14.0
786,1.237500,14.0
787,1.237500,14.0
788,1.237500,14.0
789,1.237500,14.0
790,1.237500,14.0
791,1.237500,14.0
792,1.237500,14.0
793,1.237500,14.0
794,1.237500,14.0
795,1.237500,14.0
796,1.237500,14.0
797,1.237500,14.0
798,1.237500,14.0
799,1.237500,14.0
800,1.237500,14.0
801,1.237500,14.0
802,1.237500,14.0
803,1.237500,14.0
804,1.237500,14.0
805,1.237500,14.0
806,1.237500,14.0
807,1.237500,14.0
808,1.237500,14.0
809,1.237500,14.0
810,1.237500,14.0
811,1.237500,14.0
812,1.237500,14.0
813,1.237500,14.0
814,1.237500,14.0
815,1.237500,14.0
816,1.237500,14.0
817,1.237500,14.0
818,1.237500,14.0
819,1.237500,14.0
820,1.237500,14.0
821,1.237500,14.0
822,1.237500,14.0
823,1.237500,14.0
824,1.237500,14.0
825,1.237500,14.0
826,1.237500,14.0
827,1.237500,14.0
828,1.237500,14.0
829,1.237500,14.0
830,1.237500,14.0
831,1.237500,14.0
832,1.237500,14.0
833,1.237500,14.0
834,1.237500,14.0
835,1.237500,14.0
836,1.237500,14.0
837,1.237500,14.0
838,1.237500,14.0
839,1.237500,14.0
840,1.237500,14.0
841,1.237500,14.0
842,1.237500,14.0
843,1.237500,14.0
844,1.237500,14.0
845,1.237500,14.0
846,1.237500,14.0
847,1.237500,14.0
848,1.237500,14.0
849,1.237500,14.0
850,1.237500,14.0
851,1.237500,14.0
852,1.237500,14.0
853,1.237500,14.0
854,1.237500,14.0
855,1.237500,14.0
856,1.237500,14.0
857,1.237500,14.0
858,1.237500,14.0
859,1.237500,14.0
860,1.237500,14.0
861,1.237500,14.0
862,1.237500,14.0
863,1.237500,14.0
864,1.237500,14.0
865,1.237500,14.0
866,1.237500,14.0
867,1.237500,14.0
868,1.237500,14.0
869,1.237500,14.0
870,1.237500,14.0
871,1.237500,14.0
872,1.237500,14.0
873,1.237500,14.0
874,1.237500,14.0
875,1.237500,14.0
876,1.237500,14.0
877,1.237500,14.0
878,1.237500,14.0
879,1.237500,14.0
880,1.237500,14.0
881,1.237500,14.0
882,1.237500,14.0
883,1.237500,14.0
884,1.237500,14.0
885,1.237500,14.0
886,1.237500,14.0
887,1.237500,14.0
888,1.237500,14.0
889,1.237500,14.0
890,1.237500,14.0
891,1.237500,14.0
892,1.237500,14.0
893,1.237500,14.0
894,1.237500,14.0
895,1.237500,14.0
896,1.237500,14.0
897,1.237500,14.0
898,1.237500,14.0
899,1.237500,14.0
900,1.237500,14.0
901,1.237500,14.0
902,1.237500,14.0
903,1.237500,14.0
904,1.237500,14.0
905,1.237500,14.0
906,1.237500,14.0
907,1.237500,14.0
908,1.237500,14.0
909,1.237500,14.0
910,1.237500,14.0
911,1.237500,14.0
912,1.237500,14.0
913,1.237500,14.0
914,1.237500,14.0
915,1.237500,14.0
916,1.237500,14.0
917,1.237500,14.0
918,1.237500,14.0
919,1.237500,14.0
920,1.237500,14.0
921,1.237500,14.0
922,1.237500,14.0
923,1.237500,14.0
924,1.237500,14.0
925,1.237500,14.0
926,1.237500,14.0
927,1.237500,14.0
928,1.237500,14.0
929,1.237500,14.0
930,1.237500,14.0
931,1.237500,14.0
932,1.237500,14.0
933,1.237500,14.0
